Date,Hotel,Sales
2017-02-19,29,1492893
2017-02-19,30,538520
2017-02-19,59,424192
2017-02-26,21,699655
2017-02-26,22,636593
2017-02-26,23,870419
2017-02-26,24,828754
2017-02-26,25,1507609
2017-02-26,26,600044
2017-02-26,27,1097688
2017-02-26,28,947416
2017-02-26,29,1754960
2017-02-26,30,567117
2017-02-26,59,433295
2017-03-05,21,786421
2017-03-05,22,689208
2017-03-05,23,914731
2017-03-05,24,857272
2017-03-05,25,1651036
2017-03-05,26,646282
2017-03-05,27,1112090
2017-03-05,28,1670536
2017-03-05,29,1649055
2017-03-05,30,611365
2017-03-05,59,433708
2017-03-12,21,893187
2017-03-12,22,674060
2017-03-12,23,806691
2017-03-12,24,763109
2017-03-12,25,1342547
2017-03-12,26,551395
2017-03-12,27,896223
2017-03-12,28,1863890
2017-03-12,29,1392567
2017-03-12,30,526977
2017-03-12,59,388168
2017-03-19,21,1144109
2017-03-19,22,798322
2017-03-19,23,884513
2017-03-19,24,920260
2017-03-19,25,1537820
2017-03-19,26,664315
2017-03-19,27,1063085
2017-03-19,28,2293736
2017-03-19,29,1826679
2017-03-19,30,633386
2017-03-19,59,476261
2017-03-26,21,1236036
2017-03-26,22,830536
2017-03-26,23,866531
2017-03-26,24,935974
2017-03-26,25,1551503
2017-03-26,26,633370
2017-03-26,27,1074397
2017-03-26,28,2586202
2017-03-26,29,1705421
2017-03-26,30,663217
2017-03-26,59,445930
2018-01-01,21,499591
2018-01-01,22,504512
2018-01-01,23,728017
2018-01-01,24,618252
2018-01-01,25,1145525
2018-01-01,26,565029
2018-01-01,27,815639
2018-01-01,28,471226
2018-01-01,29,1626460
2018-01-01,30,423775
2018-01-01,59,355009
2018-01-08,21,545155
2018-01-08,22,551910
2018-01-08,23,780792
2018-01-08,24,684474
2018-01-08,25,1214750
2018-01-08,26,582735
2018-01-08,27,843482
2018-01-08,28,446576
2018-01-08,29,1587811
2018-01-08,30,481513
2018-01-08,59,373043
2018-01-15,21,496050
2018-01-15,22,531896
2018-01-15,23,737830
2018-01-15,24,649348
2018-01-15,25,1161545
2018-01-15,26,595592
2018-01-15,27,825035
2018-01-15,28,400558
2018-01-15,29,1552235
2018-01-15,30,449622
2018-01-15,59,356722
2018-01-22,21,576744
2018-01-22,22,559697
2018-01-22,23,802544
2018-01-22,24,730126
2018-01-22,25,1299381
2018-01-22,26,585593
2018-01-22,27,859698
2018-01-22,28,448153
2018-01-22,29,1797740
2018-01-22,30,503904
2018-01-22,59,383904
2018-01-29,21,602415
2018-01-29,22,570693
2018-01-29,23,782960
2018-01-29,24,749385
2018-01-29,25,1281830
2018-01-29,26,585952
2018-01-29,27,866311
2018-01-29,28,518538
2018-01-29,29,1610393
2018-01-29,30,509707
2018-01-29,59,389836
2018-02-05,21,648306
2018-02-05,22,594771
2018-02-05,23,820516
2018-02-05,24,738993
2018-02-05,25,1331303
2018-02-05,26,580301
2018-02-05,27,873726
2018-02-05,28,642141
2018-02-05,29,1846308
2018-02-05,30,531426
2018-02-05,59,396962
2018-02-12,21,702337
2018-02-12,22,629435
2018-02-12,23,843680
2018-02-12,24,746310
2018-02-12,25,1355057
2018-02-12,26,587411
2018-02-12,27,890828
2018-02-12,28,738885
2018-02-12,29,1686848
2018-02-12,30,554104
2018-02-12,59,419347
2018-02-19,21,676337
2018-02-19,22,578349
2018-02-19,23,735061
2018-02-19,24,730986
2018-02-19,25,1197397
2018-02-19,26,551629
2018-02-19,27,778435
2018-02-19,28,807816
2018-02-19,29,1596371
2018-02-19,30,491870
2018-02-19,59,376429
2018-02-26,21,772065
2018-02-26,22,641142
2018-02-26,23,868099
2018-02-26,24,826280
2018-02-26,25,1589444
2018-02-26,26,639472
2018-02-26,27,993013
2018-02-26,28,929099
2018-02-26,29,1828628
2018-02-26,30,568734
2018-02-26,59,437907
2018-03-05,21,775800
2018-03-05,22,656776
2018-03-05,23,916165
2018-03-05,24,764907
2018-03-05,25,1678295
2018-03-05,26,623578
2018-03-05,27,921073
2018-03-05,28,1270720
2018-03-05,29,1803562
2018-03-05,30,545400
2018-03-05,59,412575
2018-03-12,21,899987
2018-03-12,22,727497
2018-03-12,23,934657
2018-03-12,24,844865
2018-03-12,25,1647816
2018-03-12,26,671931
2018-03-12,27,916143
2018-03-12,28,1729558
2018-03-12,29,1762329
2018-03-12,30,595755
2018-03-12,59,452467
2018-03-19,21,1188092
2018-03-19,22,848482
2018-03-19,23,856999
2018-03-19,24,968971
2018-03-19,25,1613569
2018-03-19,26,659959
2018-03-19,27,919902
2018-03-19,28,2477387
2018-03-19,29,1915182
2018-03-19,30,653841
2018-03-19,59,456981
2018-03-26,21,1565507
2018-03-26,22,1018101
2018-03-26,23,836167
2018-03-26,24,1022907
2018-03-26,25,1799289
2018-03-26,26,680645
2018-03-26,27,984828
2018-03-26,28,3671528
2018-03-26,29,1888454
2018-03-26,30,671403
2018-03-26,59,430155
